mineral_id	mineral_name	mineral_display_name	rruff_chemistry	ima_chemistry	chemistry_elements
1743	Ehrleite	Ehrleite	Ca_2_Zn^2+^Be(P^5+^O_4_)_2_(P^5+^O_3_OH)·4H_2_O	Ca_2_ZnBe(PO_4_)_2_(PO_3_OH)·4H_2_O	"Ca Zn Be P O H"
1744	Eifelite	Eifelite	KNa_2_(MgNa)(Mg_3_Si_12_)O_30_	KNa_2_(MgNa)(Mg_3_Si_12_)O_30_	"K Na Mg Si O"
1745	Eitelite	Eitelite	Na_2_Mg(CO_3_)_2_	Na_2_Mg(CO_3_)_2_	"Na Mg C O"
1746	Ekanite	Ekanite	Ca_2_ThSi_8_O_20_	Ca_2_ThSi_8_O_20_	"Ca Th Si O"
1747	Ekaterinite	Ekaterinite	Ca_2_B_4_O_7_Cl_2_·2H_2_O	Ca_2_B_4_O_7_Cl_2_·2H_2_O	"Ca B O Cl H"
1748	Ekatite	Ekatite	(Fe^3+^,Fe^2+^,Zn^2+^)_12_(As^3+^O_3_)_6_(As^3+^O_3_,SiO_3_OH)_2_(OH)_6_	(Fe^3+^,Fe^2+^,Zn)_12_(AsO_3_)_6_(AsO_3_,SiO_3_OH)_2_(OH)_6_	"Fe Zn As O Si H"
1749	Elbaite	Elbaite	Na(Al_1.5_Li_1.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH	Na(Al_1.5_Li_1.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH)	"Na Al Li Si O B H"
1750	Ellenbergerite	Ellenbergerite	Mg_6_(Mg,Ti^4+^,Zr^4+^,[box])_2_(Al,Mg)_6_Si_8_O_28_(OH)_10_	Mg_6_(Mg,Ti,Zr,[box])_2_(Al,Mg)_6_Si_8_O_28_(OH)_10_	"Mg Ti Zr Al Si O H"
1751	Ellisite	Ellisite	Tl_3_AsS_3_	Tl_3_AsS_3_	"Tl As S"
1752	Elpasolite	Elpasolite	K_2_NaAlF_6_	K_2_NaAlF_6_	"K Na Al F"
1753	Elpidite	Elpidite	Na_2_Zr^4+^Si_6_O_15_·3H_2_O	Na_2_ZrSi_6_O_15_·3H_2_O	"Na Zr Si O H"
1754	Elyite	Elyite	Cu^2+^Pb^2+^_4_(S^6+^O_4_)O_2_(OH)_4_·H_2_O	CuPb_4_(SO_4_)O_2_(OH)_4_·H_2_O	"Cu Pb S O H"
1755	Embreyite	Embreyite	Pb^2+^_5_(Cr^6+^O_4_)_2_(P^5+^O_4_)_2_·H_2_O	Pb_5_(CrO_4_)_2_(PO_4_)_2_·H_2_O	"Pb Cr O P H"
1756	Emeleusite	Emeleusite	Na_2_LiFe^3+^Si_6_O_15_	Na_2_LiFe^3+^Si_6_O_15_	"Na Li Fe Si O"
1757	Emilite	Emilite	Cu_10.7_Pb_10.7_Bi_21.3_S_48_	Cu_10.7_Pb_10.7_Bi_21.3_S_48_	"Cu Pb Bi S"
1758	Emmonsite	Emmonsite	Fe^3+^_2_(Te^4+^O_3_)_3_·2H_2_O	Fe^3+^_2_(Te^4+^O_3_)_3_·2H_2_O	"Fe Te O H"
1759	Emplectite	Emplectite	Cu^1+^Bi^3+^S^2-^_2_	CuBiS_2_	"Cu Bi S"
1760	Empressite	Empressite	AgTe	AgTe	"Ag Te"
1761	Enargite	Enargite	Cu_3_AsS_4_	Cu_3_AsS_4_	"Cu As S"
1762	Englishite	Englishite	K_3_Na_2_Ca_10_Al_15_(OH)_7_(PO_4_)_21_·26H_2_O	K_3_Na_2_Ca_10_Al_15_(OH)_7_(PO_4_)_21_·26H_2_O	"K Na Ca Al O H P"
1763	Enstatite	Enstatite	MgSiO_3_	Mg_2_Si_2_O_6_	"Mg Si O"
1764	Eosphorite	Eosphorite	Mn^2+^AlPO_4_(OH)_2_·H_2_O	Mn^2+^Al(PO_4_)(OH)_2_·H_2_O	"Mn Al P O H"
1765	Ephesite	Ephesite	NaLiAl_2_(Si_2_Al_2_)O_10_(OH)_2_	NaLiAl_2_(Si_2_Al_2_)O_10_(OH)_2_	"Na Li Al Si O H"
1766	Epididymite	Epididymite	Na_2_Be_2_Si_6_O_15_·H_2_O	Na_2_Be_2_Si_6_O_15_·H_2_O	"Na Be Si O H"
1767	Epidote	Epidote	Ca_2_Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)	Ca_2_(Al_2_Fe^3+^)[Si_2_O_7_][SiO_4_]O(OH)	"Ca Fe Al Si O H"
1768	Epistilbite	Epistilbite	Ca_3_(Si_18_Al_6_)O_48_·16H_2_O	Ca_3_[Si_18_Al_6_O_48_]·16H_2_O	"Ca Si Al O H"
1769	Epistolite	Epistolite	(Na[box])Nb^5+^_2_Na_3_Ti^4+^(Si_2_O_7_)_2_O_2_(OH)_2_(H_2_O)_4_	(Na[box])Nb_2_Na_3_Ti(Si_2_O_7_)_2_O_2_(OH)_2_(H_2_O)_4_	"Na Nb Ti Si O H"
1770	Epsomite	Epsomite	MgS^6+^O_4_·7H_2_O	Mg(SO_4_)·7H_2_O	"Mg S O H"
